author,date,headline,graf,graf_id,year_won,category
C.J. Chivers,2016-12-28,The Fighter,"Only one man knows exactly what happened next. Knife in hand, he identified himself as a former Marine and demanded that Siatta get out.",11,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"“You don’t belong here,” he said. “You need to leave.”",12,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta kept walking, the man said, and lifted a frying pan off the stove as he passed by. “You have been bad,” he said, raising the pan by its handle. “And this will do.”",13,2017,Features
C.J. Chivers,2016-12-28,The Fighter,Whatever options had existed narrowed to one. The fight began.,14,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The first time I saw Sam Siatta was in April 2016 at the Shawnee Correctional Center, a medium-security state penitentiary in southern Illinois. He was brought by the guards to a dreary conference room, away for the moment from a cellblock for serious offenders. Before he arrived, a correctional officer asked me and two members of the law firm representing Siatta whether we wanted a guard stationed nearby, in case the inmate acted up.",15,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta walked in wearing blue prison garb. He had the light feet and muscular shoulders of a young fighter. His short sleeves offered glimpses of grim tattoos — a skull resting on an hourglass on his right forearm, among others — common to many grunts. He looked tough. He also looked deflated. He came off as nervous, scared and almost painfully polite, a man overwhelmed by his circumstances.",16,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Richard R. Winter, the attorney who days before had filed an appeal of Siatta’s conviction, asked how he was doing. Any pretense of Siatta as a threat to visitors fell away. He was not doing well. Shawnee, he said, was run by gangs, which he had to take care not to cross. Two cellmates had been Latin Kings, and another was a sex offender who had almost drawn Siatta into a fight over a petty cellblock theft. The aging penitentiary in Pontiac, where he was held while awaiting a court hearing, was worse. There the inmates shouted and wailed through the night, he said, and the place was thick with rodents.",17,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta seemed distraught. He wanted to go home. Did Winter have any news, he wanted to know, about his appeal? Winter gently said it would take time, perhaps a few months before they could expect a hearing.",18,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"I had heard of Siatta in February, when T.G. Taylor, a recently retired Army officer, contacted me about a Marine infantry vet who had forced his way into a house in his neighborhood and been stabbed repeatedly by another former Marine. After a helicopter flight to a trauma center, the infantry vet — Siatta — was charged with home invasion, found guilty at trial and sentenced to prison. Taylor had taken a job at Holland & Knight, the firm handling the appeal, which was brought on the grounds that Siatta did not intend to commit the crime because he was almost catatonically intoxicated at the time. Siatta’s case, Taylor said, was about PTSD, a subject he and I had discussed over the years as we tried to help friends struggling with life after war. I was interested but cautious. I served in the Marine infantry in the 1980s and 1990s and knew what everyone who has moved past the slogans knows: That a small fraction of Marines are trouble — problem children, in the gentlest construction of the corps’ otherwise profane slang. Some of these Marines turn criminal and deserve every bit of punishment they get. I told Taylor that I would have to review the case carefully before considering coverage.",19,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"By chance, I knew Maj. Scott A. Cuomo, who commanded Siatta’s rifle company in Afghanistan. Cuomo is driven and serious. He had led the school that trains all Marine infantry lieutenants, a post reserved for established stars in the grunt officer corps. I called him with two questions: Was Siatta a problem child? If not, what was going on? Cuomo said Siatta was a solid Marine in combat — a gifted marksman, trusted by his peers, invaluable in firefights and deserving of gratitude, not incarceration. He said he was perplexed by everything he heard out of Illinois.",20,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Reading the case file raised more questions. The prosecutors had taken a hard stance against Siatta, first with charges and in plea negotiations and later in a deposition and in court, where a prosecutor belittled the idea that the accused might have been drunk as a coping mechanism for post-combat illness. Not everyone in the courtroom seemed to concur. At the end, when Siatta’s life had finally tanked, the trial judge all but apologized for sentencing him to prison.",21,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"I agreed to meet Siatta in Shawnee. Over a few hours of conversation, he toggled between being marginally expressive and almost poetic. At this late date he had developed a cleareyed view of what ailed him. He described his anxiety and drinking as conditions that grew almost imperceptibly, finally overtaking him in 2014. Until then the symptoms had been easy for him to play down, even if others were concerned. “You don’t notice when you grow half an inch, because you see yourself every day,” he said. “But if you see your loved ones, they say, ‘Oh, you’ve gotten tall.’?”",22,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Once he relaxed, Siatta talked of the killing he had done in Afghanistan — hesitantly at first, then thoroughly — replaying the cool mechanics of precision rifle fire, describing fatal mistakes, tracing where his mind traveled after. His war had been darker than his new lawyer and family knew, more brutal than he expressed in court. It was too late to expect anything to come of it. More than five years remained on his sentence, and Siatta was unlikely to receive help from Illinois’s overburdened correctional system in that time, not even counseling or medication. His fate would depend on a long-shot appeal, which focused on a narrow and not firmly established matter of law. In the waste and shame of a respected vet being warehoused in a penitentiary for a crime he could not recall was part of the foot soldiers’ experience of the Afghan war, including the return to a country content to thank them without understanding them, or why they sometimes stand apart.",23,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Lance Corporal Samuel J. Siatta arrived in Afghanistan in October 2009, one of thousands of Marines who cycled through the effort to defeat the Taliban in Helmand Province, the corps’ ambitious piece of President Obama’s first-term reboot of the Afghan war. He was a rifleman in Fox Company, Second Battalion, Second Marines, a member of First Squad, Third Platoon.",24,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"As he stepped off the aircraft at Camp Leatherneck, a base on the steppe that served as a hub for Marine operations, he was an almost timeless character, a young Marine from the prairie who might have fit into the long lines of riflemen volunteering for his service’s previous wartime campaigns. An adopted son in a Roman Catholic family in Illinois, he was handed to the couple who raised him on the Fourth of July in 1989, when he was 3 days old. His mother’s eldest brother fought as a Marine in Vietnam, and his maternal grandfather was a Marine in World War II. By the time he was in the fourth grade, he was telling grown-ups that he intended to be a Marine.",25,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"His father fell ill with cancer and died when Siatta was 12. Siatta had always been a quiet child and was more so after. A sixth-grade classmate, Ashley Volk, found him approachable and kind. The two dated that year. “He was my first kiss on the cheek,” she said. Volk made a condolence card for their class to sign and puzzled over how he contained his grief. “Sam never cried in front of us,” she said. “It always made us scared for him, because we didn’t know how he was dealing with it inside.”",26,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"By eighth grade, Siatta had started lifting weights and hanging out at the gym. Volk worked out as an excuse to be near him. The war in Iraq was raging. The Pentagon’s early success in Afghanistan was unraveling. Anyone could see there was much more fighting ahead, and against foes whose harassing and often dark tactics, emphasizing ambushes, improvised bombs and suicide attacks, were exacting a bloody toll. Siatta let it be known that he still intended to enlist.",27,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta and Volk were an off-again, on-again couple in high school, years during which she tried to talk him out of becoming a Marine. He gave her nicknames, including “pretty lady” and “gypsy,” and resisted her efforts to dissuade him. As a senior he was old enough to sign on the line. Volk pleaded with him again. His decision was firm. He had an urge for action and a sense of duty, and seemed not to care how hard or risky it would be. “It wasn’t about enjoying it,” he told me. “It was about the idea that our Constitution isn’t a bunch of toilet paper, like most of our generation thinks it is.” He enlisted while still in school and requested a place in the infantry, the corps’ toughest job.",28,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"With four years signed away, Siatta began seeing less of Volk, thinking that it would be unfair to leave her waiting while he was gone to war. He departed for boot camp in San Diego on the day he graduated, in May 2008. Volk remembers feeling scared. But she had no argument left to make. “He did it for our country,” she said. “That’s an old soul.”",29,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"At boot camp Siatta followed the familiar arc of transformation from civilian to Marine, although as weeks passed he displayed a skill that set him apart: He was an exceptional shot. The Marine Corps is built around its rifles. It expects every member to master what it considers the basic tool of modern war, via thorough training and annual requalification on shooting out to 500 yards. Siatta outshot almost everyone around him. This was not readily explicable. Siatta was raised in a household without firearms and was neither a hunter nor a weapons buff. He had never fired a rifle before.",30,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Instructors in the corps often say that recruits with no weapons experience can become accomplished shots because they have no bad habits to unlearn. Siatta offers this as the explanation for his own superior skill. But when he talks of how he shot, it is also clear that when he looked down the barrel of a rifle he was capable of extreme patience and calm. Even in firefights he could sweep away distraction and focus on the habits that make precision marksmanship possible.",31,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"In late 2008, after completing boot camp and an infantry course in which he demonstrated a knack for mixed martial arts and a high pain tolerance to go with his fine motor skills, Siatta checked into his battalion at Camp Lejeune, N.C. In many ways, two of his supervisors said, he was not a model Marine. He wore his uniform sloppily, could be inattentive in garrison and did not show the enthusiasm and initiative of some of his peers. He was pegged as “a field Marine,” a grunt suited for battle but not for the corps’ broader insistence on perfection. “Sometimes we’d say that if Siatta did not shoot as well as he did, we wouldn’t know what to do with him,” said his former squad leader, Sgt. Joseph M. Perez. Siatta accepts this reputation easily and said he chafed at the spit-shine requirements of Marine Corps base life. “They’d say, ‘Your boots are dirty,’?” he told me. “And I’d be like: ‘Of course they are dirty. I’m a fucking rifleman. I joined to do a dirty job.’?” All agree that his skill with a rifle assured his place. As his platoon readied for combat, its commander, Second Lt. Tyler P. Kurtz, selected him for a particularly difficult role: designated marksman.",32,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The D.M., as troops call this position, was a recent adjustment to the corps’ small-unit organization, a role between that of regular riflemen and snipers. It was made necessary, in the corps’ view, by the arid environments of Afghanistan and Iraq, where a dearth of vegetation often meant that gunfights occurred at long ranges, and conventional units needed Marines with skills and equipment to hit targets outside the ready range of standard M4s or M16s. Rare is the Marine who does not wish to shoot better; a culture that celebrates riflery bestows credibility and respect on those who shoot best. Siatta’s selection was an honor, the more so because he was otherwise untested. Kurtz, now a captain who commands a Marine infantry company, said he chose Siatta nonetheless because he exuded maturity when behind a rifle. “He was a natural,” he said.",33,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta’s selection brought pressures he had not contemplated before. In Afghanistan he would be called on to do the shooting that would make gunfights stop. Through the lens of a telescopic sight, he would also be expected to watch over and protect his platoon, which meant eyeing civilians through cross hairs, one after another, and looking for indicators — a partly hidden weapon, the remote detonator of a bomb — that might give him a military justification to kill. This would require a constant commitment to discernment and a disciplined sense of restraint, balanced with a willingness to take others’ lives, sometimes in the intimate fashion that can come with an eight-power scope. Even the nickname for the role, Guardian Angel, was freighted with a presumption of unerring perfection and righteous power.",34,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta had shot only paper targets. He wondered whether he was good enough. What would happen to his friends, he asked himself, if he choked?",35,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The prewar preparations of Second Battalion, Second Marines left little time for rest. Siatta lived in Fox Company’s barracks, where underage drinking was forbidden and policed by noncommissioned officers. He was too young to purchase alcohol legally or enter bars and did not show much interest in alcohol in any event. His fellow Marines recall him hanging back, unlike some of the louder personalities. “He was very quiet, very internal, one of the guys who didn’t say much,” Perez said. “When he spoke, it was pretty comical, because it was like, ‘Whoa, where did that come from?’?”",36,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"In late October 2009, the battalion landed in Afghanistan and quickly moved into the rural badlands. In keeping with the corps’ latest way of waging war, its Marines were to spend a seven-month tour characterized by an unrelenting pace of small foot patrols. At Camp Leatherneck, Fox Company was given its first mission: to set up in patrol bases near the village of Lakari, drive off the Taliban and help the Afghan government extend security and services into the area.",37,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"It was an ambitious order. Helmand Province, Afghanistan’s largest, had had a light Western military presence since 2001. Much of it had taken the form of British units in fortified outposts with limited influence over territory around them. After a bloody campaign in Iraq’s Anbar Province, the Marine Corps shifted attention to Helmand, turning the province into the corps’ own corner of Afghanistan. The villages around Lakari, nestled amid irrigated cropland along the winding Helmand River about 90 miles from Pakistan, formed a Taliban and drug-runners’ stronghold. Other Marines raided Lakari in the summer, but they left, and the area remained beyond the Afghan government’s reach. The local bazaar, on dusty land east of the river, was a no-go zone — full-on enemy turf.",38,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"On Nov. 1, the company’s First and Third Platoons arrived at Patrol Base Lakari, a crude outpost built weeks before. Little more than tents surrounded by a 13-foot-high dirt berm, it had the hastily conceived and temporary feel of much of the Marine involvement in Afghanistan. It was reached through a gate and watched over by four raised bunkers where Marines rotated turns on post, one in each bunker by day, two by night.",39,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"From behind sandbags and bulletproof glass, the Marines looked upon a desolate vista and could feel menace awaiting them. Like the bazaar, about a mile to the south, the patrol base was situated just outside the irrigated cropland, at the edge of the steppe. Vegetation and a maze of dried mud walls lay to the west and southwest. The year’s poppy crop had been harvested. A stubble of corn stalks dotted the landscape. The farmers between the base and the bazaar were presumed to be spotters who watched the Americans’ routine and signaled their movements to the Taliban. No patrol could leave the base without being seen before it reached the fields.",40,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Whenever Marines ventured into the neighboring patchwork of farmland, canals and homes, they were entering a network of interconnected traps. Small slits had been cut in the mud walls — Marines called them “murder holes” — from which the Taliban could fire. Bombs had been buried in the dirt. Ambushes were laid by fighters who typically kept a canal between themselves and their targets, preventing the Marines from employing their preferred tactic of rushing attackers. The patrol base was a target for rockets. The Marine unit that had lived in it for the past few weeks was leaving Afghanistan, ending its tour and passing to Fox Company a mission that would require small-unit gunfighting on someone else’s home ground. In his journal, Siatta recorded his first impression, in standard grunt-speak: “The coffee here tastes like shit.”",41,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"By 2009, the eighth year of its Afghan occupation, the United States had repeatedly reshaped its reasons and practices for fighting its post-Sept. 11 wars. Under ideas in favor at this moment, nicknamed COIN, the military’s inelegant shorthand for its optimistically conceived counterinsurgency doctrine, troops were expected to follow a three-stage process to declaw and displace the Taliban: clear, hold and build. This meant sweeping through an area to weaken opposing fighting groups by force and then holding the ground and trying to secure it over time, all in the service of allowing the central government’s local project to take root and grow. At the same time, Marines were told to coach Afghan forces and befriend villagers (in part by handing out cash) and urge them into roles (informants, contractors, local officials) that would make them partners in the new way. They were also supposed to encourage farmers to abandon the cultivation of opium poppy, the region’s most lucrative cash crop.",42,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"That was the theory and the hope, often officially expressed. In practice it meant destroying a firmly established local economy and bringing in rule by outsiders. And the first phase — “clearing” — was a euphemism for violence, repeatedly applied via small gunfights and supported by American artillery and air power. A corollary, often unstated but understood by those doing the patrols, was that any group of Afghans willing to face the Marines head to head would gradually be thinned, while every seven months the Americans, bloodied and made jumpy by firefights and bombs, would be replaced with fresh troops. It was small-scale attrition warfare, with hearts-and-minds jive.",43,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta’s turn came quickly. On Nov. 2, his second day at the patrol base, Third Platoon was gathering to meet the Marines they were replacing when two rockets roared in and exploded, one inside and another outside the perimeter. Siatta ran for his equipment — flak jacket, helmet, first-aid kit and the rest — and stood with his rifle waiting for a ground attack that never came. He was at war now, “heart racin, hands shakin but had a smile on my face,” he wrote in his journal. “I dont know why I was smilin maybe it was because I could have got blown the fuck up and didn’t.”",44,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"To stop incoming rockets, the patrols would have to make the Taliban think twice about taking such risks. That night, Siatta was issued a Mark 12 Special Purpose Rifle, the more accurate descendant of the M16, which he would carry throughout his tour, along with open-tip match-grade ammunition, a departure from the military’s standard full-metal jacket rounds that sacrificed armor penetration but caused more damaging soft-tissue wounds. The rifle was equipped with a suppressor to muffle its report. Siatta was a hunter now. Clearing the fields around Lakari was his job. He was 20 years old.",45,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"On a section of steppe the Marines called “the eastern desert,” Siatta adjusted the rifle’s scope. His practice range, an empty expanse of compacted soil and tiny tufts of dried grass, was safe. The local fighters did not leave the security of their home turf to fight in the open. Like an athlete stretching on a sideline before competition, Siatta made his last preparations. Methodically firing into rations boxes, he determined and wrote down the data for exact distances, then set the scope for 300 yards and taped the chart to his rifle’s stock. He was ready.",46,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The squad was green. Its leader, Sergeant Perez, was the only Marine who had been in combat before. The first patrol passed without incident. But Fox Company was aggressive, and within days its Marines were pushing beyond where the departing unit had regularly gone. They were looking for fights.",47,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"At the lower ranks of the Marine Corps, the Pentagon’s airbrushed language of war can fade away. Tactical slang hews closer to battlefield fact. Marines talk of “bait patrols,” in which one group of grunts heads off to a contested area trying to draw fire, while others wait, hoping that once the Taliban show themselves they can attack their flanks. And they talk of the most straightforward mission of all: movement to contact, which means exactly that.",48,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"On Nov. 7, Siatta’s squad, accompanied by Lieutenant Kurtz and a machine-gun team, headed just over a mile south and stopped beside a house to talk with whoever approached. Siatta’s journal entry that day was unequivocal about the purpose.",49,2017,Features
C.J. Chivers,2016-12-28,The Fighter,Now let me be clear our mission was not to talk to the locales and shot the shit. Our mission was to get the Talibans atention and hopefully have them attach use and give there position away.,50,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The battalion leaving Afghanistan was opposed to the mission. Kurtz faced contradictory orders. His company commander was telling him to push south, while the operations officer in the command center was ordering him back. The Marines headed back.",51,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"On the return walk, they were attacked. “Gunfire opens up out of a tree line,” Siatta’s journal reads. “Rounds cracking and snaping through the air and skipin across the ground.”",52,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The squad reacted as infantry units in their first firefight often do. Most of the Marines opened up with everything they had. Siatta found a position along a mud wall, fired a few shots and then stopped. Through his scope he saw nothing to shoot.",53,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Around him others cut loose. The squad’s M249 automatic weapons and M240 machine gun tore through belts of ammunition. The fire-team leaders lobbed one high-explosive 40-mm grenade after another. Lance Cpl. Dustin J. Hagglund, who led the machine-gun team, described it afterward as “an ammo dump, basically.” Two cows, he said, were cut in half. The firefight was of a familiar type: a swift and ferocious clash between combatants who scarcely glimpsed one another. Beyond signaling toughness and an eagerness to fight, it accomplished little. “We did the suppression, we closed with them and we pulled back,” Lance Cpl. Jeffrey Ratliff said. The Taliban also withdrew. No one, it seemed, had been struck.",54,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The Marines strode back to their patrol base, exuberant, riding the rush of having been under fire and coming out alive. This is one of war’s exhilarating drugs. It fueled backslaps and shouts. “Everyone was like high-fiving and everything,” Hagglund told me. “We were the first squad in the company to get in a firefight.”",55,2017,Features
C.J. Chivers,2016-12-28,The Fighter,A few minutes later Hagglund was in a bunker when a Toyota pickup rushed toward the gate. It stopped short. Its occupants hopped out and retrieved a wheelbarrow from the bed. A few Afghan soldiers ran to meet them. In the wheelbarrow was a small boy who had been shot through the skull.,56,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The bullet had struck above his left eyebrow and blown out the back of his head. But it had hit high enough that the child was still alive — unresponsive, breathing fitfully. The man pushing the wheelbarrow was his father. Siatta watched as the Marines took the child to their aid station and rested his shattered skull over a stainless-steel bowl. A corpsman tried to keep what was left of his head intact by cupping it in his hands. A sandstorm had blown up, grounding the helicopter fleet. It was a few hours before an aircraft took him away. Not long after, the radio brought word. The boy had died.",57,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Hagglund thought the child might be 4 years old. Siatta and Perez thought he might be 6. No one was exactly sure how he had been shot. Ratliff figured he was hit while running through the gunfight to save the cows. The corpsman who examined the wound said it was caused by a 5.56-millimeter bullet, which matched weapons that the Marines carried. Perez tried consoling his squad. “This is how it works,” he said. “Rounds go everywhere in firefights, and as hard as we try to prevent civilian casualties, this is going to happen sometimes.” He reminded them that they had not shot first. They were ambushed. But words, he knew, had limits. “My guys felt guilty,” he said.",58,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"After the first night, the Marines barely discussed the boy’s death. “We just kind of did the man thing, and we did not talk about it ever again,” Perez said. Hagglund described a collective reticence. “None of us talked about our feelings,” he said. “We were gung-ho. We were taking care of business.” They bleached the stainless-steel bowl, ate out of it and went back out on patrols.",59,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta was shaken. His training had not prepared him for what it felt like to look down after a gunfight upon a child with part of his head gone. “During all of our work-up, shooting targets, throwing grenades, doing all that, you never once saw kids mangled,” he told me. The boy reminded him of his niece. He was one firefight into the only line of work he had ever wanted and was confronted with “one of those sights — it was like maturity overnight, a sobering.”",60,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Fox Company intended to clear the area around Lakari quickly. The next week was a blur. “Nothing,” Siatta wrote in his journal, “but firefight, rockets, ambushes, post resuply missions and just chaos.”",61,2017,Features
C.J. Chivers,2016-12-28,The Fighter,And then he took his first clear shot.,62,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"On Nov. 17, the platoon commander, Kurtz, accompanied the squad, reinforced with a machine-gun team and Afghan soldiers, on a mission deep into Taliban turf. He had noticed a pattern. After each gunfight, the Taliban’s fighters seemed to withdraw to the same fields and buildings west of the bazaar. Kurtz was sick of it and planned to walk straight into their area, summon them to a fight and kill as many of them as he could. “It was a pure and simple movement to contact, and nothing else,” he said.",63,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The squad set off in midmorning. To Kurtz’s surprise, no Taliban fighters showed up. “Basically we humped all day,” he said. The squad continued a few miles west of the bazaar, into an area where no Marines had been before, when an ambush erupted around part of it. One team of Marines was filing across a field when the Taliban opened fire. The range was short. The ambushers were about 200 yards away. Following their training, the Marines in the kill zone turned toward the gunfire and charged. Those in the strip of vegetation between the fields alternated between shooting and rushing, trying to envelop the attackers.",64,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"An Afghan soldier fired a rocket-propelled grenade near the lieutenant, and the back blast nearly deafened him. The Taliban was firing with a PK machine gun, rocket-propelled grenades and rifles. The squad was spread out, with Perez and Siatta moving with a team a few hundred yards off. Perez looked behind his Marines and saw a man on a roof about 300 yards away, partly hidden by a wall. He raised his four-power scope for a closer view. The man did not seem to be holding anything but was watching the fight, perhaps directing the Taliban.",65,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta was beside Perez with an eight-power scope. Under the rules, Marines were required to have “PID” — positive identification — of a combatant before firing. Even warning shots were forbidden without an officer’s approval. Another platoon had recently shot an Afghan with a radio, only to discover that the radio was a harmless transistor for listening to the news and that the man had a mental disability. The Marines had been warned about avoiding more mistakes.",66,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta kept his sight on the man. He did not see a weapon, a radio or a cellphone. But he was suspicious. Perez told him to fire a warning shot and chase the man off. “I told Siatta to shoot under the guy,” he told me.",67,2017,Features
C.J. Chivers,2016-12-28,The Fighter,Siatta fired. The man collapsed. Perez lowered his M4 and looked down at Siatta. “Did you just shoot that man?” he asked.,68,2017,Features
C.J. Chivers,2016-12-28,The Fighter,Siatta nodded.,69,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Perez was astonished. But they were midway through a gunfight, with Marines pinned down in a field, and he understood that Siatta could have hit the man unintentionally. He decided to wait to confront him.",70,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The squad fought south for about 600 yards, clearing several buildings. At one point they were taking fire from a compound, and as Kurtz was organizing an airstrike, he saw, through a gap in the wall, a woman inside. She was holding a baby. Kurtz thought the Taliban might have pushed her into view as a human shield. He called off the airstrike. Some of the Marines watched several unarmed men sprinting away from a building they were closing on and asked for permission to shoot them. Kurtz thought the fleeing men were combatants who had ditched their weapons. But again, he said, he followed the rules. He ordered the squad not to fire. It was a maddening fight, under an ornate system of restrictions that the Taliban knew how to exploit, a style of war that could enrage those who followed it. “A lot of the guys in the squad were pissed at me that day,” Kurtz said.",71,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Back at their base, Perez asked Siatta to explain his shot. “Were you sighted on that guy?” he said.",72,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta, he said, answered, “Yes.”",73,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"“He told me he wanted to feel what it was like to kill someone,” Perez later recalled.",74,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Perez was angry and concerned. He reported the incident to Kurtz, and the company began investigating Siatta. Kurtz, too, was disturbed. He sensed trouble. Villagers had been gathering at the gate, complaining about every mistake Fox Company made. Kurtz expected they would soon arrive with a body.",75,2017,Features
